,PseudoTime0,PseudoTime1,PseudoTime2
E91_6_648,,6.648,
E101_2_323,,2.323,
E65_4_646,4.646,,
E69_2_003,,2.003,
E62_1_362,,1.362,
E125_7_61,7.61,,
E68_4_966,,,4.966
E5_5_847,5.847,,
E120_1_602,,1.602,
E128_6_168,,6.168,
E0_0_961,,0.961,
E93_2_723,2.723,,
E69_4_486,,4.486,
E119_0_16,,0.16,
E58_2_643,,,2.643
E98_5_847,,,5.847
E136_2_563,,,2.563
E120_3_765,,3.765,
E47_1_522,,,1.522
E40_3_685,3.685,,
E11_6_088,,6.088,
E23_6_568,6.568,,
E103_6_728,,6.728,
E29_0_801,,,0.801
E134_4_325,4.325,,
E118_1_922,1.922,,
E147_4_245,,,4.245
E46_0_0,,,0.0
E6_4_726,,,4.726
E115_0_961,,0.961,
E14_0_0,,,0.0
E136_6_969,,,6.969
E19_0_08,,0.08,
E68_6_088,,,6.088
E41_5_607,,5.607,
E78_1_762,,,1.762
E30_1_282,,1.282,
E107_4_646,,4.646,
E92_1_682,,,1.682
E57_0_16,,0.16,
E113_7_129,,,7.129
E7_5_687,5.687,,
E140_2_723,,,2.723
E29_7_85,,,7.85
E106_3_685,3.685,,
E118_6_969,6.969,,
E69_1_762,,1.762,
E65_7_77,7.77,,
E102_0_801,,,0.801
E0_0_561,,0.561,
E42_0_721,,,0.721
E79_2_243,2.243,,
E42_5_927,,,5.927
E121_0_0,,,0.0
E120_5_607,,5.607,
E125_5_847,5.847,,
E52_2_804,,,2.804
E78_0_561,,,0.561
E121_3_925,,,3.925
E145_3_364,,,3.364
E1_6_889,,,6.889
E147_3_605,,,3.605
E70_3_845,3.845,,
E122_3_284,,,3.284
E129_0_881,,,0.881
E149_7_129,7.129,,
E90_1_282,1.282,,
E65_2_163,2.163,,
E24_4_726,4.726,,
E120_4_245,,4.245,
E86_4_486,4.486,,
E47_2_964,,,2.964
E64_7_129,7.129,,
E107_7_289,,7.289,
E111_6_088,6.088,,
E135_7_289,7.289,,
E3_1_762,,1.762,
E142_5_607,,,5.607
E58_5_207,,,5.207
E132_0_401,0.401,,
E14_5_687,,,5.687
E147_7_93,,,7.93
E59_7_77,,7.77,
E5_3_845,3.845,,
E130_2_643,,2.643,
E124_0_561,0.561,,
E1_7_529,,,7.529
E101_7_049,,7.049,
E147_0_481,,,0.481
E30_3_124,,3.124,
E132_4_646,4.646,,
E36_6_809,,6.809,
E139_4_085,,,4.085
E13_2_804,,,2.804
E13_2_243,,,2.243
E62_4_406,,4.406,
E113_1_762,,,1.762
E14_0_721,,,0.721
E8_1_121,,1.121,
E3_1_202,,1.202,
E121_7_529,,,7.529
E137_7_77,7.77,,
E30_5_847,,5.847,
E93_4_486,4.486,,
E119_6_488,,6.488,
E111_2_563,2.563,,
E11_2_483,,2.483,
E11_1_041,,1.041,
E91_2_563,,2.563,
E120_0_961,,0.961,
E144_4_245,4.245,,
E10_3_925,,,3.925
E133_4_005,,4.005,
E139_0_32,,,0.32
E44_7_93,7.93,,
E67_7_289,,7.289,
E93_1_202,1.202,,
E21_3_044,3.044,,
E30_6_248,,6.248,
E40_6_088,6.088,,
E137_3_845,3.845,,
E131_1_362,,1.362,
E60_5_287,,5.287,
E60_7_85,,7.85,
E80_7_369,,7.369,
E122_3_364,,,3.364
E14_1_442,,,1.442
E103_3_204,,3.204,
E70_0_721,0.721,,
E140_1_922,,,1.922
E6_6_648,,,6.648
E80_7_85,,7.85,
E19_6_568,,6.568,
E19_1_121,,1.121,
E95_5_447,,,5.447
E132_6_008,6.008,,
E129_1_041,,,1.041
E42_4_646,,,4.646
E44_5_367,5.367,,
E1_7_69,,,7.69
E106_6_088,6.088,,
E118_5_847,5.847,,
E102_7_369,,,7.369
E136_2_323,,,2.323
E120_3_524,,3.524,
E146_6_408,,6.408,
E65_5_287,5.287,,
E20_3_605,,,3.605
E134_2_964,2.964,,
E13_2_003,,,2.003
E22_5_527,,,5.527
E90_1_522,1.522,,
E14_7_69,,,7.69
E17_7_369,,7.369,
E101_7_77,,7.77,
E90_1_682,1.682,,
E79_7_77,7.77,,
E134_3_845,3.845,,
E137_3_204,3.204,,
E16_2_643,2.643,,
E130_4_486,,4.486,
E17_7_61,,7.61,
E127_3_284,,3.284,
E109_4_806,,4.806,
E109_1_602,,1.602,
E5_2_403,2.403,,
E121_7_85,,,7.85
E75_3_605,3.605,,
E6_1_442,,,1.442
E90_7_369,7.369,,
E98_7_69,,,7.69
E66_3_364,,,3.364
E13_2_403,,,2.403
E29_2_964,,,2.964
E125_7_85,7.85,,
E80_5_527,,5.527,
E65_2_723,2.723,,
E38_0_641,,0.641,
E46_4_806,,,4.806
E106_6_728,6.728,,
E35_6_488,,6.488,
E60_1_522,,1.522,
E102_0_16,,,0.16
E15_6_728,,6.728,
E75_5_767,5.767,,
E68_5_287,,,5.287
E81_1_442,1.442,,
E31_7_69,,7.69,
E106_2_243,2.243,,
E107_7_69,,7.69,
E68_0_881,,,0.881
E3_6_328,,6.328,
E0_3_444,,3.444,
E137_4_165,4.165,,
E2_5_687,5.687,,
