,dyn-BF_500_0,dyn-BF_500_1,dyn-BF_500_2,dyn-BF_500_3,dyn-BF_500_4,dyn-BF_500_5,dyn-BF_500_6,dyn-BF_500_7,dyn-BF_500_8,dyn-BF_500_9,dyn-BF_2000_0,dyn-BF_2000_1,dyn-BF_2000_2,dyn-BF_2000_3,dyn-BF_2000_4,dyn-BF_2000_5,dyn-BF_2000_6,dyn-BF_2000_7,dyn-BF_2000_8,dyn-BF_2000_9,dyn-BF_5000_0,dyn-BF_5000_1,dyn-BF_5000_2,dyn-BF_5000_3,dyn-BF_5000_4,dyn-BF_5000_5,dyn-BF_5000_6,dyn-BF_5000_7,dyn-BF_5000_8,dyn-BF_5000_9
GENIE3,0.703125,0.6625000000000001,0.70625,0.6593749999999999,0.6875,0.6625,0.6593749999999999,0.6656249999999999,0.6781250000000001,0.690625,0.66875,0.68125,0.675,0.6875,0.690625,0.6875,0.6656249999999999,0.671875,0.678125,0.6875,0.6812499999999999,0.6812499999999999,0.6781250000000001,0.671875,0.68125,0.671875,0.6781250000000001,0.68125,0.66875,0.66875
GRISLI,0.5796875,0.5546875,0.6453125,0.5578125,0.6078125,0.5874999999999999,0.4875,0.5296875,0.553125,0.596875,0.6171875,0.61875,0.5828125,0.5734375,0.5765625,0.6734375,0.6593749999999999,0.5921875000000001,0.58125,0.7078125,0.6296875,0.6109375,0.6484375,0.671875,0.6609375000000001,0.6296875,0.6640625,0.6828125,0.646875,0.6390625
GRNBOOST2,0.7,0.6875,0.725,0.684375,0.678125,0.690625,0.6625,0.665625,0.696875,0.721875,0.7375,0.70625,0.690625,0.696875,0.71875,0.715625,0.709375,0.690625,0.665625,0.6875,0.6875,0.7,0.725,0.709375,0.725,0.675,0.7125,0.696875,0.74375,0.709375
GRNVBEM,0.7109375,0.6125,0.6984375,0.5703125,0.5609374999999999,0.6296875000000001,0.6,0.7140625,0.515625,0.6218750000000001,0.6015625,0.6531250000000001,0.546875,0.571875,0.59375,0.58125,0.578125,0.553125,0.5875,0.5328125,0.49843750000000003,0.525,0.553125,0.5171874999999999,0.571875,0.5203125,0.58125,0.5078125,0.5109375,0.5703125
LEAP,0.70625,0.75625,0.68125,0.890625,0.765625,0.778125,0.703125,0.796875,0.690625,0.875,0.6812499999999999,0.678125,0.6499999999999999,0.66875,0.66875,0.665625,0.659375,0.671875,0.653125,0.6625,0.6625,0.690625,0.678125,0.6875,0.678125,0.671875,0.696875,0.6875,0.6875,0.684375
PIDC,0.7312500000000001,0.7124999999999999,0.7250000000000001,0.7499999999999999,0.73125,0.7375,0.75625,0.7000000000000001,0.70625,0.75,0.75,0.75,0.7375,0.7375,0.7437499999999999,0.7562500000000001,0.7375,0.7312500000000001,0.74375,0.7437499999999999,0.75,0.7375,0.75,0.74375,0.7375,0.75,0.75,0.75,0.75,0.75
PPCOR,0.734375,0.7640625,0.7109375,0.7203124999999999,0.7406250000000001,0.7375,0.73125,0.7124999999999999,0.7546875,0.7749999999999999,0.7375,0.725,0.76875,0.7640625,0.759375,0.7421875,0.7765625,0.7734375,0.75,0.775,0.7484375,0.775,0.7609375,0.75625,0.7578125,0.75625,0.7703125,0.7671874999999999,0.734375,0.75625
SCINGE,0.6656249999999999,0.5828125,0.5625,0.6546875,0.74375,0.6265624999999999,0.6234375,0.6578125,0.75625,0.6453125,0.671875,0.784375,0.8375,0.7234375,0.8015625,0.6781250000000001,0.7265625,0.5,0.8218749999999999,0.746875,0.6015625,0.690625,0.7109375,0.5999999999999999,0.5671875000000001,0.6953125,0.696875,0.5734375,0.6703125,0.6625
SCNS,0.6203125,0.621875,0.6406249999999999,0.615625,0.6375,0.6609375,0.615625,0.6484375,0.621875,0.609375,0.603125,0.596875,0.6890625,0.625,0.6171875,0.628125,0.621875,0.6203125,0.5796875,0.6218750000000001,0.5921875,0.696875,0.6484375000000001,0.6125,0.653125,0.6359375,0.6296875000000001,0.6203125,0.6171875,0.5921875
SCODE,0.7,0.665625,0.640625,0.6968749999999999,0.6718750000000001,0.65,0.65625,0.709375,0.696875,0.721875,0.5687500000000001,0.646875,0.66875,0.6625,0.603125,0.65625,0.6625000000000001,0.6937500000000001,0.7,0.61875,0.65625,0.6937500000000001,0.628125,0.64375,0.640625,0.615625,0.65,0.6468750000000001,0.70625,0.690625
SCRIBE,0.7625,0.640625,0.803125,0.796875,0.5187499999999999,0.47187500000000004,0.7250000000000001,0.703125,0.796875,0.7375,0.7687499999999999,0.53125,0.678125,0.671875,0.64375,0.625,0.690625,0.828125,0.671875,0.6437499999999999,0.7093750000000001,0.771875,0.825,0.740625,0.6875,0.85,0.69375,0.7125,0.840625,0.784375
SINCERITIES,0.640625,0.8265625,0.915625,0.8,0.7671875,0.8828125,0.825,0.7640625,0.7421875,0.815625,0.85,0.8625,0.8390625,0.8765625,0.7984375,0.8609375,0.7578125,0.8421875,0.8609375,0.790625,0.8234375,0.825,0.8328125,0.8140625,0.8203125,0.8421875000000001,0.7984375,0.7890625,0.7859375,0.8078124999999999
