,Spearman Median,Spearman MAD
GENIE3,0.9831456121870189,0.009635966133423761
GRISLI,0.7513585854489415,0.10977879089977866
GRNBOOST2,0.9575399076249899,0.01582921411162513
GRNVBEM,0.8160426512491806,0.0648738977140119
LEAP,0.8579881656804734,0.1027071026997998
PIDC,0.977922077922078,0.025276896706147925
PPCOR,0.9550978617113889,0.019594051586335683
SCINGE,0.45349914096034183,0.13695049062548026
SCNS,0.8514594739217497,0.0689012498463767
SCODE,0.8697026172919536,0.04966123606744694
SCRIBE,0.500850822461713,0.13323538562851345
SINCERITIES,0.8184535661141674,0.10816220289138448
