,dyn-BF_500_0,dyn-BF_500_1,dyn-BF_500_2,dyn-BF_500_3,dyn-BF_500_4,dyn-BF_500_5,dyn-BF_500_6,dyn-BF_500_7,dyn-BF_500_8,dyn-BF_500_9,dyn-BF_2000_0,dyn-BF_2000_1,dyn-BF_2000_2,dyn-BF_2000_3,dyn-BF_2000_4,dyn-BF_2000_5,dyn-BF_2000_6,dyn-BF_2000_7,dyn-BF_2000_8,dyn-BF_2000_9,dyn-BF_5000_0,dyn-BF_5000_1,dyn-BF_5000_2,dyn-BF_5000_3,dyn-BF_5000_4,dyn-BF_5000_5,dyn-BF_5000_6,dyn-BF_5000_7,dyn-BF_5000_8,dyn-BF_5000_9
GENIE3,0.32648814547521443,0.30155699805040576,0.3285635713560161,0.3229765747445318,0.31607613660098444,0.31122695991439037,0.3028563512313512,0.2985211642932231,0.31329684355367127,0.3122089213713254,0.31382778061596844,0.32223980286800086,0.3125005700820918,0.31707822206529096,0.3167236435646323,0.32701819018949163,0.3200036032256146,0.31810479722979723,0.3207680715609104,0.31794474396376565,0.31710421522921517,0.3235745927851191,0.31731978077566314,0.31537631045033593,0.317388659933417,0.3179607805779095,0.3252263794634484,0.3226221618795148,0.31720554255990685,0.31180513975544405
GRISLI,0.24788398800208233,0.23841164280033555,0.3054289604730781,0.2484061966255837,0.27497738974132163,0.2990569797565442,0.22001632296278564,0.23753704467326758,0.23202378639966242,0.26814320483493215,0.2716120830531249,0.2738684694934695,0.2515881431370562,0.25280329815846303,0.24748368256564096,0.3104672578883105,0.31488531895390964,0.2555130799272757,0.24639765773330186,0.3388536540858522,0.27588358293361465,0.2677779419090395,0.29107911487001875,0.318209489754145,0.3182118140691702,0.3437740756110321,0.3119778525567999,0.33171530271787714,0.3195639218063661,0.2877612042240525
GRNBOOST2,0.3183600098806385,0.38751825174994503,0.3399620795870796,0.31158911395556227,0.29834232671988425,0.30935542908655034,0.30073862460003764,0.29275053553369945,0.3284734522013934,0.3391870765869245,0.45278481262833126,0.3223431264017985,0.389363052353613,0.33071367689645725,0.34340285471696164,0.34425831869742557,0.3425097361078819,0.3210923260960783,0.3064699136358175,0.3154981587189825,0.3100822184501011,0.32667521363972774,0.35451862674200807,0.34891345866409806,0.34459977906286293,0.30301632558648983,0.343961949675652,0.31108965013090734,0.38638055139510585,0.33006573314437765
GRNVBEM,0.40616163352764767,0.35351571382581615,0.3700159933954859,0.30225046865130306,0.34084571602168534,0.34235499149972837,0.35632925904791224,0.4054605466120893,0.22998204425648366,0.36497639016214867,0.46703983197109794,0.4437635573671379,0.4092877543268277,0.4123179308542819,0.42416444482608473,0.4184474572356451,0.47899290932466476,0.40975019681441144,0.4190211350882706,0.4091976440183195,0.42958334677416066,0.4388904145461884,0.4444150658843831,0.43452840909090906,0.448899732049553,0.4382583343239921,0.45212542001504175,0.4306256703982247,0.435437795826995,0.4524801817362727
LEAP,0.3232563616938616,0.36022499722499723,0.3007165988840437,0.7780261650114592,0.39620054237701297,0.3998642466390945,0.3596551061896331,0.4127437888198758,0.3167160935040192,0.7079491341991341,0.32422555679396614,0.3203039553039553,0.30445054227381807,0.3144264484948578,0.31734353609353605,0.30664834234175165,0.30472073759573753,0.31064940760993387,0.30258479945979944,0.31249884374884374,0.305647355740235,0.3215914116842909,0.3150005025933818,0.3176206232222786,0.3150005025933818,0.31211710338389564,0.322769993489767,0.3176206232222786,0.31869729331126384,0.318146088891142
PIDC,0.42504960317460316,0.39938832001332,0.41731150793650795,0.4551373503947033,0.4151032301032301,0.36558871683871685,0.4543216485312074,0.4122920938710412,0.34608537296037295,0.38968718577174466,0.44183302808302816,0.44183302808302816,0.4215949328449329,0.42498265623265624,0.4397199328449328,0.44385683760683764,0.42844017094017095,0.42632707570207573,0.4340949328449329,0.4397199328449328,0.44183302808302816,0.42844017094017095,0.44183302808302816,0.4354414335664336,0.42557040182040184,0.44183302808302816,0.44183302808302816,0.44183302808302816,0.44183302808302816,0.44183302808302816
PPCOR,0.44992944555444553,0.46569694194694194,0.44036935286935286,0.42473307489611833,0.44527035464535464,0.4667582417582417,0.40296474358974355,0.450236568986569,0.45045991045991046,0.48686507936507933,0.42706598956598957,0.44680777103331454,0.4718416305916306,0.459257548007548,0.46945931085043985,0.4335082972582973,0.47752547021943575,0.4781623217468806,0.4420858308358308,0.4716394022644022,0.4042846042846043,0.4688553113553114,0.4605321067821068,0.4461136086136086,0.45850829725829734,0.44567204309851366,0.4645650183150183,0.46295884670884674,0.3826774614274614,0.4461136086136086
SCINGE,0.31800680502293405,0.24783554711571953,0.23530092107026251,0.3116285583439577,0.3466113362340984,0.2702226123856558,0.2628929925573148,0.30083176015161317,0.4306125993889152,0.2886290993363362,0.3301447785900525,0.41250550375550377,0.529627879860078,0.4070083912189175,0.507169699817726,0.345914144335197,0.37835114870920494,0.6190476190476191,0.48394172396803975,0.40694643618316895,0.2742276568612331,0.42110562202319385,0.3507127448574817,0.2599516646511616,0.26419075336515385,0.31505674354381247,0.38850904086198207,0.24788829417555497,0.39975721457017727,0.34222961199303914
SCNS,0.38210084033613445,0.3223809523809524,0.29667207792207795,0.29305226636108994,0.2999906015037594,0.3992763157894737,0.28571969696969696,0.3133239348370927,0.2874314574314574,0.2877871148459384,0.2869662793347003,0.3020238095238095,0.4146428571428571,0.3223809523809524,0.29846893302775657,0.46080586080586083,0.3104341736694678,0.2964880952380952,0.2885924369747899,0.3087665520753756,0.3083928571428572,0.4258241758241758,0.32190476190476186,0.336038961038961,0.4470238095238095,0.46499999999999997,0.30898809523809523,0.39789377289377287,0.4116071428571429,0.29064935064935066
SCODE,0.5026702388025917,0.4748839747209312,0.42800154958590153,0.36638813674572185,0.3470532666507898,0.32455786464101793,0.30083730034529266,0.39227336828148185,0.5010593714939556,0.3391429791613615,0.25297540978064725,0.2936844766083896,0.3095352427070693,0.31802605766640296,0.27481907716317683,0.3758496629646011,0.29807402316353726,0.354983284425884,0.37166031432335783,0.28953918186335065,0.32458707154359323,0.38054220945525297,0.40248771506502,0.2965252247752248,0.30270586405712263,0.28173370448277035,0.2915243996407256,0.3124493260362825,0.37319443677667363,0.3327326021931285
