Gene1,Gene2,Type
TFAP2A,ARID3A,+
ZEB1,ARID3A,+
ZFX,ARID3A,+
BHLHE40,BHLHE40,+
JUND,BHLHE40,+
POU5F1,BHLHE40,+
TFAP2A,BHLHE40,+
ZFX,E2F4,+
BHLHE40,ELK3,+
JUND,ELK3,+
TFAP2A,ELK3,+
ZFX,ELK3,+
PITX2,ETV6,+
ZFX,ETV6,+
TFAP2A,FOXF1,+
ZFX,FOXF1,+
TFAP2A,FOXH1,+
ZFX,FOXH1,+
ZFX,GATA3,+
TFAP2A,GATA6,+
CEBPZ,HBP1,+
SOX11,HBP1,+
SOX2,HBP1,+
SOX5,HBP1,+
TFAP2A,HBP1,+
ZFP42,HBP1,+
ZFX,HBP1,+
BHLHE40,HOXB3,+
SRF,HOXB3,+
TFAP2A,HOXB3,+
BHLHE40,HOXB6,+
HAND1,HOXB6,+
MYCN,HOXB6,+
SMAD2,HOXB6,+
PRDM1,IRX3,+
SMAD2,IRX3,+
SMAD7,IRX3,+
TFAP2A,IRX3,+
ZFX,IRX3,+
NANOG,JUND,+
POU5F1,JUND,+
TFAP2A,JUND,+
ZFX,JUND,+
TFAP2A,MEIS2,+
ZFX,MEIS2,+
TFAP2A,MSX1,+
ZFX,MSX2,+
JUND,NANOG,+
FOXF1,PRDM1,+
FOXH1,PRDM1,+
JUND,PRDM1,+
MAF,PRDM1,+
MSX1,PRDM1,+
NFE2L3,PRDM1,+
SOX2,PRDM1,+
TFAP2A,SHOX2,+
ZFX,SHOX2,+
TFAP2A,SMAD2,+
ZFX,SMAD2,+
BHLHE40,SMAD7,+
CEBPZ,SMAD7,+
HAND1,SMAD7,+
MYCN,SMAD7,+
TFAP2A,SMAD7,+
ZFX,SMAD7,+
ZFX,SOX11,+
CEBPZ,SRF,+
MAF,SRF,+
POU5F1,SRF,+
SRF,SRF,+
TFAP2A,SRF,+
ZFX,SRF,+
LEF1,TCF7,+
TCF7,TCF7,+
TFAP2A,TCF7,+
ZFX,TCF7,+
TFAP2A,TERF1,+
ZEB1,TERF1,+
ZFP42,TERF1,+
ZFX,TFAP2A,+
TFAP2A,ZEB1,+
TFAP2A,ZFX,+
ZFP42,ZFX,+
ZFX,ZFX,+
NANOG,BHLHE40,+
SOX2,BHLHE40,+
MAF,CDX1,+
NFE2L3,CDX1,+
ZFP42,CDX1,+
TFAP2A,CEBPZ,+
TFAP2A,ETV6,+
E2F4,GATA3,+
E2F4,GATA6,+
MAF,GATA6,+
PRDM1,GATA6,+
ZFX,GATA6,+
JUND,HBP1,+
MSX2,HBP1,+
CDX1,HOXB3,+
FOXF1,HOXB3,+
NANOG,HOXB3,+
SOX2,HOXB3,+
ZFX,HOXB3,+
NANOG,IRX3,+
SOX2,IRX3,+
ZFP42,JUND,+
CEBPZ,MEIS2,+
GATA3,MEIS2,+
MAF,MEIS2,+
MEIS2,MEIS2,+
SOX11,MEIS2,+
SOX2,MEIS2,+
SOX5,MEIS2,+
TERF1,MEIS2,+
ZFX,MSX1,+
GATA3,NFIB,+
POU5F1,NFIB,+
SOX2,NFIB,+
TFAP2A,NFIB,+
ZEB1,NFIB,+
ZFX,NFIB,+
LEF1,PRDM1,+
GATA3,SHOX2,+
NANOG,SMAD7,+
CEBPZ,SOX17,+
POU5F1,SOX17,+
TFAP2A,SOX17,+
ZFX,SOX17,+
PRDM1,SRF,+
FOXF1,ZEB1,+
JUND,ZEB1,+
SRF,ZEB1,+
MAF,E2F4,+
TFAP2A,E2F4,+
ZFX,EOMES,+
BHLHE40,FOXH1,+
TFAP2A,GATA3,+
TFAP2A,GATA4,+
ZFX,GATA4,+
NANOG,HBP1,+
ZFX,HOXB6,+
CEBPZ,JUND,+
PITX2,JUND,+
SRF,JUND,+
LEF1,LEF1,+
TCF7,LEF1,+
TFAP2A,LEF1,+
ZFX,LEF1,+
TFAP2A,MAF,+
ZFX,MAF,+
PRDM1,NFE2L3,+
TFAP2A,NFE2L3,+
ZFX,NFE2L3,+
ZFX,PITX2,+
BHLHE40,PRDM1,+
HAND1,PRDM1,+
MYCN,PRDM1,+
TFAP2A,PRDM1,+
ZEB1,SHOX2,+
POU5F1,SMAD2,+
ZIC3,SMAD2,+
POU5F1,SMAD7,+
TFAP2A,SOX2,+
ZFX,SOX2,+
SMAD2,TFAP2A,+
SMAD7,TFAP2A,+
SRF,TFAP2A,+
E2F4,ZEB1,+
OTX2,ZEB1,+
ZFX,ZEB1,+
BHLHE40,ZFX,+
HAND1,ZFX,+
MYCN,ZFX,+
ZEB1,ZFX,+
JUND,EOMES,+
TFAP2A,EOMES,+
NANOG,ETV6,+
