CellID	CellID	dim1	dim2	kMeans	PseudoTime1	Original	ExpTime
E0_0_0	E0_0_0	31.338932	-13.220779	0	0.0	1.0	0.0
E0_0_1	E0_0_1	29.324285999999997	-10.848011	0	2.09451615043253	1.0	0.1
E0_0_2	E0_0_2	25.409218	-11.561810000000001	0	0.6082365449962371	1.0	0.2
E0_0_3	E0_0_3	28.756897	-11.211777	0	2.25351241265462	1.0	0.3
E0_0_4	E0_0_4	30.739272999999997	-14.152713	0	0.0	1.0	0.4
E0_0_5	E0_0_5	30.916404999999997	-11.761703500000001	0	0.0319279803433474	1.0	0.5
E0_0_6	E0_0_6	31.579136	-14.499791	0	0.0	1.0	0.6
E0_0_7	E0_0_7	28.63465	-13.0358515	0	0.3772442654068879	1.0	0.7
E0_0_8	E0_0_8	26.899319000000002	-8.451915	0	1.7545216028238602	1.0	0.8
E0_0_9	E0_0_9	25.681335	-13.762466	0	4.730513691740629	1.0	0.9
E0_0_10	E0_0_10	28.879717	-12.732667	0	0.7571594026994399	1.0	0.1
E0_0_11	E0_0_11	28.889574	-8.217561	0	0.0	1.0	0.11
E0_0_12	E0_0_12	31.977842	-11.321886	0	0.0	1.0	0.12
E0_0_13	E0_0_13	25.808708	-12.283642	0	0.115575162989596	1.0	0.13
E0_0_14	E0_0_14	30.862472999999998	-11.709571	0	0.037026689510905	1.0	0.14
E0_0_15	E0_0_15	26.40901	-10.593143	0	2.7213558485668097	1.0	0.15
E0_0_16	E0_0_16	28.12513	-13.160768	0	0.8525005366093991	1.0	0.16
E0_0_17	E0_0_17	28.539108000000002	-8.602095	0	0.0	1.0	0.17
E0_0_18	E0_0_18	29.409409000000004	-12.281864	0	1.7870638177538898	1.0	0.18
E0_0_19	E0_0_19	27.796164	-11.060478999999999	0	3.07512774759993	1.0	0.19
E0_0_20	E0_0_20	27.57525	-13.797602	0	2.37719746889191	1.0	0.2
E0_0_21	E0_0_21	28.546339	-15.062427	0	4.45796000676024	1.0	0.21
E0_0_22	E0_0_22	31.224155	-11.435385	0	0.0	1.0	0.22
E0_0_23	E0_0_23	30.077076	-9.776423	0	2.1111311834222097	1.0	0.23
E0_0_24	E0_0_24	26.890629999999998	-14.600881	0	4.15441468591144	1.0	0.24
E0_0_25	E0_0_25	32.12893	-15.119828	0	0.0	1.0	0.25
E0_0_26	E0_0_26	32.267406	-14.724529	0	0.0	1.0	0.26
E0_0_27	E0_0_27	28.712294	-10.647787	0	2.6160515826660498	1.0	0.27
E0_0_28	E0_0_28	28.079346	-13.65375	0	1.21544580955953	1.0	0.28
E0_0_29	E0_0_29	30.802367999999998	-11.493331	0	0.271190110932272	1.0	0.29
E0_0_30	E0_0_30	27.681576	-10.213559	0	3.1455423533882403	1.0	0.3
E0_0_31	E0_0_31	31.811804	-9.664636	0	0.0	1.0	0.31
E0_0_32	E0_0_32	30.391434000000004	-8.176891	0	0.0	1.0	0.32
E0_0_33	E0_0_33	32.278152	-12.250772	0	0.0	1.0	0.33
E0_0_34	E0_0_34	25.00883	-12.874545	0	0.256925110387552	1.0	0.34
E0_0_35	E0_0_35	33.49236	-13.254432000000001	0	0.0	1.0	0.35
E0_0_36	E0_0_36	28.988879999999998	-15.699922	0	4.84062353350131	1.0	0.36
E0_0_37	E0_0_37	31.710896	-9.584611	0	0.0	1.0	0.37
E0_0_38	E0_0_38	25.28355	-10.445825	0	1.52395458434708	1.0	0.38
E0_0_39	E0_0_39	32.01465	-13.018066000000001	0	0.0	1.0	0.39
