,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3
E96_6_969,6.969,,,
E144_1_121,,,1.121,
E13_6_488,6.488,,,
E21_4_325,4.325,,,
E11_7_449,,,7.449,
E50_3_524,,,3.524,
E14_0_561,,0.561,,
E102_1_442,,1.442,,
E27_5_847,,,5.847,
E124_1_282,1.282,,,
E93_4_886,4.886,,,
E105_2_323,,,2.323,
E81_4_966,4.966,,,
E46_4_325,,,4.325,
E138_4_646,,,4.646,
E123_4_085,,,4.085,
E37_3_925,,,3.925,
E138_2_804,,,2.804,
E96_6_648,6.648,,,
E99_1_762,,,1.762,
E146_2_323,2.323,,,
E91_6_648,,,6.648,
E89_4_005,,,4.005,
E75_5_367,,,5.367,
E104_2_723,,,2.723,
E62_6_168,,,,6.168
E35_2_483,,,,2.483
E60_2_884,,,2.884,
E27_4_486,,,4.486,
E10_6_008,,,6.008,
E4_1_121,,,1.121,
E115_7_289,7.289,,,
E41_7_289,,7.289,,
E62_2_083,,,,2.083
E28_2_804,,,2.804,
E130_2_643,2.643,,,
E119_0_641,,0.641,,
E121_4_886,,4.886,,
E48_1_041,,,1.041,
E114_6_248,6.248,,,
E24_5_367,,,5.367,
E18_0_401,0.401,,,
E68_7_85,,7.85,,
E120_1_922,,,1.922,
E13_4_886,4.886,,,
E81_3_124,3.124,,,
E45_1_282,,,,1.282
E62_3_044,,,,3.044
E45_4_566,,,,4.566
E84_0_16,,,,0.16
E27_3_845,,,3.845,
E50_6_168,,,6.168,
E47_7_289,,,7.289,
E98_1_842,,,1.842,
E114_2_163,2.163,,,
E50_5_367,,,5.367,
E27_3_524,,,3.524,
E4_4_406,,,4.406,
E122_2_804,2.804,,,
E6_7_85,7.85,,,
E74_0_24,0.24,,,
E113_1_282,,,1.282,
E106_6_008,6.008,,,
E1_0_801,,,0.801,
E72_6_809,,,6.809,
E107_3_685,,,3.685,
E130_4_806,4.806,,,
E95_2_403,2.403,,,
E82_1_762,,1.762,,
E132_6_088,,6.088,,
E3_7_529,,,7.529,
E7_6_889,,,,6.889
E53_0_24,0.24,,,
E141_4_966,4.966,,,
E148_2_643,,,2.643,
E77_3_925,,,3.925,
E71_5_687,5.687,,,
E33_6_168,,,6.168,
E93_2_163,2.163,,,
E30_1_282,,,1.282,
E24_7_77,,,7.77,
E138_1_121,,,1.121,
E102_3_364,,3.364,,
E133_3_444,3.444,,,
E138_0_801,,,0.801,
E130_4_005,4.005,,,
E89_6_488,,,6.488,
E1_5_607,,,5.607,
E148_1_442,,,1.442,
E92_4_566,,,4.566,
E133_5_607,5.607,,,
E110_7_289,,,7.289,
E123_6_088,,,6.088,
E50_6_328,,,6.328,
E4_3_284,,,3.284,
E98_6_488,,,6.488,
E120_6_088,,,6.088,
E95_7_85,7.85,,,
E145_1_682,,,1.682,
E18_2_403,2.403,,,
E92_2_483,,,2.483,
E45_7_77,,,,7.77
E20_6_809,6.809,,,
E127_0_961,,,0.961,
E72_6_408,,,6.408,
E73_6_488,,,6.488,
E139_1_202,1.202,,,
E35_4_325,,,,4.325
E86_0_881,,,0.881,
E119_4_165,,4.165,,
E130_7_449,7.449,,,
E44_0_16,,,0.16,
E6_3_124,3.124,,,
E114_2_243,2.243,,,
E27_4_085,,,4.085,
E120_3_925,,,3.925,
E29_6_969,6.969,,,
E35_0_561,,,,0.561
E31_2_323,,,2.323,
E18_7_529,7.529,,,
E21_4_646,4.646,,,
E105_4_806,,,4.806,
E119_7_85,,7.85,,
E89_5_126,,,5.126,
E66_5_927,,,5.927,
E138_6_328,,,6.328,
E14_7_85,,7.85,,
E102_7_049,,7.049,,
E86_0_561,,,0.561,
E85_5_207,,,5.207,
E80_2_163,,2.163,,
E27_2_003,,,2.003,
E78_6_488,,,6.488,
E21_4_566,4.566,,,
E126_4_165,,,4.165,
E46_1_762,,,1.762,
E132_5_927,,5.927,,
E78_7_61,,,7.61,
E77_6_728,,,6.728,
E66_4_085,,,4.085,
E136_1_762,1.762,,,
E102_2_723,,2.723,,
E92_1_602,,,1.602,
E146_6_648,6.648,,,
E57_1_202,1.202,,,
E148_0_481,,,0.481,
E102_0_721,,0.721,,
E37_6_809,,,6.809,
E3_5_927,,,5.927,
E20_1_602,1.602,,,
E66_3_925,,,3.925,
E130_4_566,4.566,,,
E139_0_481,0.481,,,
E106_1_282,1.282,,,
E34_2_083,,,2.083,
E78_6_328,,,6.328,
E79_6_088,,,,6.088
E20_7_61,7.61,,,
E113_4_726,,,4.726,
E93_2_563,2.563,,,
E132_5_767,,5.767,,
E120_3_444,,,3.444,
E107_6_889,,,6.889,
E50_1_522,,,1.522,
E61_5_847,,5.847,,
E108_4_566,4.566,,,
E96_0_401,0.401,,,
E80_2_243,,2.243,,
E2_4_886,,,,4.886
E30_0_24,,,0.24,
E120_3_845,,,3.845,
E117_0_961,0.961,,,
E29_0_401,0.401,,,
E53_6_568,6.568,,,
E4_4_726,,,4.726,
E129_0_16,,,0.16,
E110_7_77,,,7.77,
E53_7_61,7.61,,,
E60_4_566,,,4.566,
E29_3_845,3.845,,,
E82_0_32,,0.32,,
E90_6_088,,,6.088,
E105_6_248,,,6.248,
E93_0_801,0.801,,,
E16_2_403,2.403,,,
E122_3_284,3.284,,,
E17_6_488,6.488,,,
E32_1_041,,1.041,,
E11_3_845,,,3.845,
E71_7_85,7.85,,,
E49_1_602,,,1.602,
E2_1_762,,,,1.762
E75_3_204,,,3.204,
E3_6_648,,,6.648,
E1_1_602,,,1.602,
E32_3_605,,3.605,,
E81_0_561,0.561,,,
E85_5_687,,,5.687,
E92_7_449,,,7.449,
E19_2_323,,,2.323,
E83_5_367,,,5.367,
E80_3_925,,3.925,,
E57_5_367,5.367,,,
E130_6_408,6.408,,,
E106_2_563,2.563,,,
E4_4_245,,,4.245,
E17_4_566,4.566,,,
E44_2_964,,,2.964,
E33_6_088,,,6.088,
E145_2_243,,,2.243,
E95_4_566,4.566,,,
E10_2_563,,,2.563,
E17_0_641,0.641,,,
E3_6_408,,,6.408,
E38_1_522,,,,1.522
E139_6_168,6.168,,,
E141_0_961,0.961,,,
E23_7_61,,,7.61,
E132_7_93,,7.93,,
E62_4_005,,,,4.005
E124_4_726,4.726,,,
E134_0_881,,,0.881,
E32_0_721,,0.721,,
E77_6_008,,,6.008,
E137_1_121,,,1.121,
E78_7_449,,,7.449,
E60_1_762,,,1.762,
E122_7_85,7.85,,,
E82_2_163,,2.163,,
E49_5_287,,,5.287,
E18_0_801,0.801,,,
E22_3_364,3.364,,,
E93_6_488,6.488,,,
E84_3_605,,,,3.605
E32_1_762,,1.762,,
E4_2_003,,,2.003,
E139_3_845,3.845,,,
E19_0_721,,,0.721,
E104_0_721,,,0.721,
E92_1_442,,,1.442,
E120_7_85,,,7.85,
E71_4_646,4.646,,,
E127_1_682,,,1.682,
E24_6_168,,,6.168,
E80_0_481,,0.481,,
E110_7_61,,,7.61,
E138_2_083,,,2.083,
E2_2_723,,,,2.723
E46_3_765,,,3.765,
E30_5_767,,,5.767,
E137_4_005,,,4.005,
E108_1_522,1.522,,,
E95_0_24,0.24,,,
E58_2_323,2.323,,,
E13_2_483,2.483,,,
E139_4_966,4.966,,,
E129_1_121,,,1.121,
E96_3_925,3.925,,,
E35_2_323,,,,2.323
E124_2_804,2.804,,,
E47_6_088,,,6.088,
E110_4_886,,,4.886,
E8_2_003,,,2.003,
E117_1_202,1.202,,,
E19_6_809,,,6.809,
E94_3_124,,,3.124,
E34_5_927,,,5.927,
E124_2_643,2.643,,,
E95_5_767,5.767,,,
E110_4_325,,,4.325,
E16_5_046,5.046,,,
E78_6_408,,,6.408,
E122_3_605,3.605,,,
E14_2_083,,2.083,,
E34_3_925,,,3.925,
E24_2_323,,,2.323,
E53_0_08,0.08,,,
E62_6_248,,,,6.248
E21_0_881,0.881,,,
E29_5_126,5.126,,,
E99_5_207,,,5.207,
E91_4_646,,,4.646,
E34_2_884,,,2.884,
E78_5_046,,,5.046,
E138_3_444,,,3.444,
E45_0_481,,,,0.481
E17_2_483,2.483,,,
E35_5_527,,,,5.527
E110_1_282,,,1.282,
E127_5_847,,,5.847,
E107_7_77,,,7.77,
E124_1_842,1.842,,,
E49_2_003,,,2.003,
E68_3_605,,3.605,,
E124_7_529,7.529,,,
E66_2_323,,,2.323,
E53_6_328,6.328,,,
E81_5_126,5.126,,,
E79_0_32,,,,0.32
E141_2_964,2.964,,,
E127_4_325,,,4.325,
E33_4_806,,,4.806,
E86_2_804,,,2.804,
E18_4_646,4.646,,,
E35_0_721,,,,0.721
E55_6_568,,,6.568,
E129_3_605,,,3.605,
E145_4_646,,,4.646,
E117_1_041,1.041,,,
E134_6_408,,,6.408,
E88_7_049,,7.049,,
E132_4_566,,4.566,,
E132_2_243,,2.243,,
E129_5_527,,,5.527,
E95_1_842,1.842,,,
E25_4_005,4.005,,,
E140_7_529,,,7.529,
E141_4_325,4.325,,,
E20_0_401,0.401,,,
E80_1_202,,1.202,,
E10_3_124,,,3.124,
E137_6_568,,,6.568,
E92_0_721,,,0.721,
E79_0_24,,,,0.24
E96_6_248,6.248,,,
E20_5_126,5.126,,,
E98_5_847,,,5.847,
E117_5_687,5.687,,,
E4_1_041,,,1.041,
E114_3_605,3.605,,,
E79_1_362,,,,1.362
E73_3_124,,,3.124,
E133_5_447,5.447,,,
E61_4_165,,4.165,,
E61_2_083,,2.083,,
E83_4_646,,,4.646,
E17_0_881,0.881,,,
E18_5_687,5.687,,,
E75_3_524,,,3.524,
E17_3_364,3.364,,,
E105_1_442,,,1.442,
