G96,G15,G94,G92,G47,G56,G85,G87,G88,G93,Time,Experiment
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,0
0.2948519,0.3755051,0.3470034,0.1085735,0.1167645,1.0395613,0.0914215,0.9322018,0.0518113,0.0233489,50,0
0.245563,0.4342072,0.3404839,0.0880966,0.0692144,1.0012677,0.0833897,1.0553473,0.0409291,0.0271135,100,0
0.2762312,0.5726896,0.3308234,0.1175338,0.0503315,1.067519,0.1078723,0.9092886,0.0450545,0.0310576,150,0
0.2807933,0.5545564,0.3541528,0.1607099,0.0319864,0.9853266,0.0766624,0.882686,0.0397003,0.024963,200,0
0.2555753,0.6196142,0.2926865,0.2230102,0.0323093,0.973454,0.096549,0.8098244,0.0366986,0.0222369,250,0
0.3312834,0.5527766,0.1805379,0.2909789,0.0359162,0.9218639,0.0520973,0.9875019,0.0638405,0.0219566,300,0
0.3273167,0.4789421,0.1672903,0.2775031,0.0445614,1.0154667,0.1054182,0.9317011,0.054863,0.0378289,350,0
0.2412823,0.4226509,0.1805642,0.2009184,0.0427193,0.9866778,0.0784054,0.9227568,0.0526455,0.0381101,400,0
0.2787815,0.3551188,0.2376562,0.1427605,0.0419034,0.916416,0.0981574,0.9123313,0.0492417,0.0515561,450,0
0.3499527,0.3861618,0.2035894,0.0947172,0.0440612,1.0271774,0.1029356,0.943851,0.0534681,0.0478775,500,0
0.2803736,0.3465025,0.2404954,0.0956919,0.3717638,1.0854904,0.0912866,0.9620831,0.0584556,0.0325648,550,0
0.2849538,0.3505198,0.254105,0.0780981,0.4757633,1.0018463,0.0745415,1.0218398,0.0637457,0.0344046,600,0
0.3260813,0.3323405,0.2397757,0.0772162,0.4999651,0.981358,0.0768412,0.9821699,0.0500862,0.034421,650,0
0.3144905,0.2996291,0.3083064,0.0686924,0.5159628,1.0163734,0.0734888,0.9890904,0.045969,0.0333071,700,0
0.3734168,0.3120547,0.3033912,0.0670685,0.491605,0.9886925,0.0801657,0.9536022,0.0470803,0.0258789,750,0
0.3843842,0.3569874,0.2630942,0.0503055,0.4647418,0.9909249,0.0801273,0.8780451,0.0419757,0.0223227,800,0
0.2728532,0.3211425,0.2876211,0.0666514,0.4793385,1.0004847,0.0916891,0.887455,0.0697057,0.0188738,850,0
0.318423,0.357019,0.2821704,0.054818,0.4416438,0.9624586,0.0916935,0.9474892,0.080678,0.0179882,900,0
0.2836112,0.3677143,0.2577809,0.0637382,0.5183597,1.0408842,0.1001576,0.9733445,0.0553401,0.0203581,950,0
0.2567691,0.3407608,0.2614527,0.0785328,0.4894882,1.0025587,0.0841111,1.0015373,0.0477432,0.0197272,1000,0
0.3121044,0.4463703,0.2851571,0.1164409,0.5114862,1.0753031,0.0853687,0.8670377,0.0592991,0.0197872,0,1
0.114569,0.3450948,0.3527534,0.3991553,0.1262877,0.9780831,0.0761385,0.8610546,0.0560643,0.6267157,50,1
0.1252155,0.3837357,0.2516479,0.4965321,0.0761645,0.7756458,0.0812866,0.7931641,0.0688181,0.8277502,100,1
