AR	RGPD2	1
RGPD2	AR	2
AR	CDK6	0
BCL11A	RGPD2	1
RGPD2	BCL11A	2
BCL11A	CDCA8	0
BCL11A	HESX1	1
HESX1	BCL11A	2
BCL11A	TCOF1	0
CTNNB1	RGPD2	1
RGPD2	CTNNB1	2
BCL11A	SLC35A3	0
CTNNB1	CER1	1
CER1	CTNNB1	2
BCL11A	ERBB4	0
CTNNB1	MCC	1
MCC	CTNNB1	2
BCL11A	MPHOSPH9	0
CTNNB1	AK4	1
AK4	CTNNB1	2
BCL11A	MAFF	0
CTNNB1	TLE3	1
TLE3	CTNNB1	2
BCL11A	PRICKLE1	0
CTNNB1	DKK1	1
DKK1	CTNNB1	2
BCL11A	SNRPB	0
CTNNB1	CXXC1	1
CXXC1	CTNNB1	2
BCL11A	BTF3	0
CTNNB1	SFRP2	1
SFRP2	CTNNB1	2
BCL11A	ANKRD1	0
CTNNB1	PRICKLE1	1
PRICKLE1	CTNNB1	2
BCL11A	SYNC	0
CTNNB1	DCLK1	1
DCLK1	CTNNB1	2
BCL11A	LIPG	0
CTNNB1	ETV4	1
ETV4	CTNNB1	2
BCL11A	SLA2	0
CTNNB1	OTX2	1
OTX2	CTNNB1	2
BCL11A	ABLIM1	0
CTNNB1	DKK4	1
DKK4	CTNNB1	2
BCL11A	LTBP1	0
CTNNB1	NEDD9	1
NEDD9	CTNNB1	2
CTNNB1	CDCA7L	0
CTNNB1	TNC	1
TNC	CTNNB1	2
CTNNB1	TDRD7	0
CTNNB1	DUSP4	1
DUSP4	CTNNB1	2
CTNNB1	SLC46A3	0
CTNNB1	WLS	1
WLS	CTNNB1	2
CTNNB1	ESRP1	0
CTNNB1	CYP1B1	1
CYP1B1	CTNNB1	2
CTNNB1	MPHOSPH9	0
CTNNB1	HESX1	1
HESX1	CTNNB1	2
CTNNB1	MAFG	0
CTNNB1	UNC5D	1
UNC5D	CTNNB1	2
CTNNB1	PRPS2	0
CTNNB1	ASXL1	1
ASXL1	CTNNB1	2
CTNNB1	SOX13	0
CTNNB1	ETV1	1
ETV1	CTNNB1	2
CTNNB1	BTF3	0
CTNNB1	ZNF202	1
ZNF202	CTNNB1	2
CTNNB1	ANKRD1	0
CTNNB1	NUP54	1
NUP54	CTNNB1	2
CTNNB1	TADA1	0
CTNNB1	USP44	1
USP44	CTNNB1	2
CTNNB1	LIPG	0
CTNNB1	RXRG	1
RXRG	CTNNB1	2
CTNNB1	SLC39A11	0
CTNNB1	ENC1	1
ENC1	CTNNB1	2
CTNNB1	ACOX3	0
CTNNB1	PHLDB2	1
PHLDB2	CTNNB1	2
CTNNB1	LUM	0
CTNNB1	RGS5	1
RGS5	CTNNB1	2
CTNNB1	SAP18	0
CTNNB1	ETV3	1
ETV3	CTNNB1	2
CTNNB1	EEF1A1	0
CTNNB1	SMAD2	1
SMAD2	CTNNB1	2
CTNNB1	XRCC5	0
CTNNB1	KLHL4	1
KLHL4	CTNNB1	2
CTNNB1	TRIM33	0
CTNNB1	PRDM14	1
PRDM14	CTNNB1	2
CTNNB1	ANKRD26	0
CTNNB1	CRABP2	1
CRABP2	CTNNB1	2
CTNNB1	ANGPT2	0
CTNNB1	VPS13C	1
VPS13C	CTNNB1	2
CTNNB1	NONO	0
CTNNB1	WWTR1	1
WWTR1	CTNNB1	2
CTNNB1	WDR35	0
CTNNB1	BTBD10	1
BTBD10	CTNNB1	2
CTNNB1	ISCA1	0
CTNNB1	COL4A1	1
COL4A1	CTNNB1	2
CTNNB1	DPH2	0
CTNNB1	PAM	1
PAM	CTNNB1	2
CTNNB1	LEF1	0
CTNNB1	NCAM1	1
NCAM1	CTNNB1	2
CTNNB1	ANKRD13C	0
CTNNB1	RBPJ	1
RBPJ	CTNNB1	2
CTNNB1	DYNC1I1	0
CTNNB1	LPIN1	1
LPIN1	CTNNB1	2
CTNNB1	LPGAT1	0
CTNNB1	LIN28A	1
LIN28A	CTNNB1	2
CTNNB1	MPHOSPH9	0
CTNNB1	TNFRSF11B	1
TNFRSF11B	CTNNB1	2
CTNNB1	EHMT2	0
CTNNB1	GPR83	1
GPR83	CTNNB1	2
CTNNB1	EGF	0
CTNNB1	CD200	1
CD200	CTNNB1	2
CTNNB1	DSCC1	0
CTNNB1	CYP26A1	1
CYP26A1	CTNNB1	2
CTNNB1	MAP4K3	0
CTNNB1	BAMBI	1
BAMBI	CTNNB1	2
CTNNB1	FREM1	0
CTNNB1	RHOBTB3	1
RHOBTB3	CTNNB1	2
CTNNB1	ALYREF	0
CTNNB1	PMAIP1	1
PMAIP1	CTNNB1	2
CTNNB1	TBX20	0
CTNNB1	PBX1	1
PBX1	CTNNB1	2
CTNNB1	NUDT11	0
CTNNB1	PALLD	1
PALLD	CTNNB1	2
CTNNB1	PPT2	0
CTNNB1	PRDM1	1
PRDM1	CTNNB1	2
CTNNB1	DAAM1	0
CTNNB1	PLAGL1	1
PLAGL1	CTNNB1	2
CTNNB1	ZNF587	0
CTNNB1	CENPK	1
CENPK	CTNNB1	2
CTNNB1	TGFB1	0
CTNNB1	PITX2	1
PITX2	CTNNB1	2
CTNNB1	CCKBR	0
CTNNB1	FBXO28	1
FBXO28	CTNNB1	2
CTNNB1	GYPA	0
CTNNB1	FOXN3	1
FOXN3	CTNNB1	2
CTNNB1	SAP18	0
CTNNB1	SAMD3	1
SAMD3	CTNNB1	2
CTNNB1	RRN3	0
CTNNB1	HOMER1	1
HOMER1	CTNNB1	2
CTNNB1	WDR12	0
CTNNB1	EPCAM	1
EPCAM	CTNNB1	2
CTNNB1	LEF1	0
CTNNB1	TCF4	1
TCF4	CTNNB1	2
CTNNB1	SUPT16H	0
CTNNB1	MATN3	1
MATN3	CTNNB1	2
CTNNB1	RAI14	0
CTNNB1	FOXP1	1
FOXP1	CTNNB1	2
CTNNB1	GATA3	0
CTNNB1	DCAF6	1
DCAF6	CTNNB1	2
CTNNB1	PENK	0
CTNNB1	SH3BGRL2	1
SH3BGRL2	CTNNB1	2
CTNNB1	TMF1	0
CTNNB1	ZNF142	1
ZNF142	CTNNB1	2
CTNNB1	TDP2	0
CTNNB1	ANXA3	1
ANXA3	CTNNB1	2
CTNNB1	MYBL2	0
CTNNB1	SEMA3E	1
SEMA3E	CTNNB1	2
CTNNB1	PER3	0
CTNNB1	POU2F1	1
POU2F1	CTNNB1	2
CTNNB1	ANKRD6	0
CTNNB1	MRPL1	1
MRPL1	CTNNB1	2
CTNNB1	EMB	0
CTNNB1	TTC27	1
TTC27	CTNNB1	2
CTNNB1	SOX7	0
CTNNB1	E2F7	1
E2F7	CTNNB1	2
CTNNB1	KLHL24	0
CTNNB1	NCAPG	1
NCAPG	CTNNB1	2
CTNNB1	CREB3L4	0
CTNNB1	HMGA1	1
HMGA1	CTNNB1	2
CTNNB1	NRIP1	0
CTNNB1	PHB2	1
PHB2	CTNNB1	2
CTNNB1	RNPS1	0
CTNNB1	SKA3	1
SKA3	CTNNB1	2
CTNNB1	RAVER2	0
CTNNB1	ABCA1	1
ABCA1	CTNNB1	2
CTNNB1	IL6ST	0
CTNNB1	SNAI2	1
SNAI2	CTNNB1	2
CTNNB1	LRAT	0
CTNNB1	GATA4	1
GATA4	CTNNB1	2
CTNNB1	MYOF	0
CTNNB1	ASNS	1
ASNS	CTNNB1	2
CTNNB1	SNAI1	0
CTNNB1	SNRPB	1
SNRPB	CTNNB1	2
CTNNB1	NFATC1	0
CTNNB1	MIA3	1
MIA3	CTNNB1	2
CTNNB1	JUND	0
DNMT3B	CBX3	1
CBX3	DNMT3B	2
CTNNB1	MLLT3	0
DNMT3B	MAFG	1
MAFG	DNMT3B	2
CTNNB1	ANKRD13C	0
DNMT3B	OXTR	1
OXTR	DNMT3B	2
CTNNB1	APOBEC3C	0
EGR1	U2AF1	1
U2AF1	EGR1	2
CTNNB1	RNPS1	0
EGR1	WDHD1	1
WDHD1	EGR1	2
CTNNB1	ZNF471	0
EGR1	NOL11	1
NOL11	EGR1	2
CTNNB1	PGR	0
EGR1	SIRT1	1
SIRT1	EGR1	2
CTNNB1	KAT6A	0
EGR1	PDCD11	1
PDCD11	EGR1	2
CTNNB1	CPVL	0
EGR1	KAT7	1
KAT7	EGR1	2
CTNNB1	MXI1	0
EGR1	TMEM131	1
TMEM131	EGR1	2
CTNNB1	ZNF398	0
EGR1	ARID4B	1
ARID4B	EGR1	2
CTNNB1	SMAD6	0
EGR1	KDELR3	1
KDELR3	EGR1	2
CTNNB1	NOC3L	0
EGR1	POLR1C	1
POLR1C	EGR1	2
CTNNB1	TGFB1	0
EGR1	ZNF764	1
ZNF764	EGR1	2
DNMT3B	CEBPZ	0
EGR1	AFF4	1
AFF4	EGR1	2
DNMT3B	TDP2	0
EGR1	DNAJC2	1
DNAJC2	EGR1	2
DNMT3B	SLC35F1	0
EGR1	PTGR1	1
PTGR1	EGR1	2
EGR1	CDK6	0
EGR1	DCAF6	1
DCAF6	EGR1	2
EGR1	SUPT7L	0
EGR1	CREB3L2	1
CREB3L2	EGR1	2
EGR1	SHOX2	0
EGR1	EEF1A1	1
EEF1A1	EGR1	2
EGR1	EPB41L3	0
EGR1	KIF15	1
KIF15	EGR1	2
EGR1	MCM5	0
EGR1	HNRNPD	1
HNRNPD	EGR1	2
EGR1	LMO2	0
EGR1	CRABP2	1
CRABP2	EGR1	2
EGR1	PPARA	0
EGR1	ESPL1	1
ESPL1	EGR1	2
EGR1	SMARCC1	0
EGR1	SFPQ	1
SFPQ	EGR1	2
EGR1	C4orf46	0
EGR1	CTNNB1	1
CTNNB1	EGR1	2
EGR1	ANKRD13C	0
EGR1	ANKMY2	1
ANKMY2	EGR1	2
EGR1	STIM2	0
EGR1	SLC39A8	1
SLC39A8	EGR1	2
EGR1	KLHL6	0
EGR1	RNF19A	1
RNF19A	EGR1	2
EGR1	SH3RF1	0
EGR1	SNAI1	1
SNAI1	EGR1	2
EGR1	ACOX3	0
EGR1	HMGN2	1
HMGN2	EGR1	2
EGR1	LIMD1	0
EGR1	SNX18	1
SNX18	EGR1	2
EGR1	RPE	0
EGR1	ASXL1	1
ASXL1	EGR1	2
EGR1	DPYSL3	0
EGR1	PGM2	1
PGM2	EGR1	2
EGR1	UTP15	0
EGR1	NUP54	1
NUP54	EGR1	2
EGR1	TNFRSF11B	0
EGR1	PRIM1	1
PRIM1	EGR1	2
EGR1	ANKRD28	0
EGR1	CASD1	1
CASD1	EGR1	2
EGR1	ANGPT2	0
EGR1	SENP7	1
