,PseudoTime0,PseudoTime1
E10_0_651,0.651,
E109_2_655,,2.655
E147_3_257,,3.257
E107_3_006,3.006,
E97_2_355,,2.355
E130_0_1,0.1,
E32_2_154,2.154,
E141_0_802,0.802,
E1_4_91,,4.91
E7_2_104,,2.104
E39_4_459,4.459,
E60_0_15,,0.15
E12_2_104,2.104,
E122_2_705,2.705,
E80_4_76,,4.76
E57_4_709,,4.709
E3_3_607,3.607,
E134_4_709,,4.709
E73_4_058,,4.058
E38_1_303,1.303,
E42_3_307,,3.307
E80_0_2,,0.2
E130_3_657,3.657,
E149_0_451,,0.451
E69_1_553,1.553,
E143_3_958,3.958,
E26_0_501,,0.501
E65_1_253,,1.253
E45_0_251,0.251,
E10_1_152,1.152,
E89_3_707,,3.707
E82_0_701,,0.701
E105_3_507,,3.507
E109_0_1,,0.1
E138_1_202,1.202,
E128_3_607,3.607,
E97_1_653,,1.653
E17_4_76,4.76,
E128_0_852,0.852,
E32_2_355,2.355,
E74_1_253,,1.253
E92_3_407,3.407,
E49_1_653,,1.653
E137_0_351,0.351,
E128_2_255,2.255,
E47_4_309,,4.309
E123_4_359,4.359,
E28_1_152,1.152,
E35_0_651,0.651,
E84_0_802,,0.802
E88_0_2,,0.2
E83_4_659,4.659,
E145_0_251,0.251,
E119_4_76,4.76,
E71_3_507,,3.507
E56_3_106,,3.106
E80_1_754,,1.754
E121_2_756,2.756,
E82_2_906,,2.906
E62_1_703,,1.703
E120_3_257,,3.257
E11_1_052,1.052,
E143_0_05,0.05,
E142_4_058,,4.058
E27_4_609,4.609,
E26_1_703,,1.703
E142_1_102,,1.102
E108_2_655,2.655,
E76_0_05,,0.05
E59_2_856,2.856,
E62_3_808,,3.808
E55_3_507,3.507,
E82_3_056,,3.056
E37_3_457,3.457,
E40_4_96,4.96,
E72_1_303,1.303,
E87_3_106,,3.106
E129_3_457,,3.457
E76_0_1,,0.1
E1_1_653,,1.653
E18_1_002,1.002,
E147_3_858,,3.858
E65_4_058,,4.058
E117_4_509,4.509,
E144_1_754,,1.754
E141_1_904,1.904,
E93_2_956,,2.956
E139_2_455,2.455,
E48_4_108,4.108,
E106_0_852,0.852,
E127_4_409,4.409,
E28_0_05,0.05,
E70_0_902,,0.902
E31_4_008,,4.008
E14_1_804,,1.804
E142_2_705,,2.705
E17_2_906,2.906,
E112_3_858,,3.858
E83_0_351,0.351,
E18_4_208,4.208,
E147_1_052,,1.052
E89_4_609,,4.609
E122_3_858,3.858,
E140_4_208,,4.208
E66_2_655,,2.655
E73_2_054,,2.054
E54_0_852,,0.852
E79_4_91,4.91,
E53_2_004,,2.004
E27_0_251,0.251,
E51_4_509,4.509,
E117_0_752,0.752,
E35_1_603,1.603,
E77_0_251,,0.251
E1_4_509,,4.509
E29_3_307,3.307,
E35_4_359,4.359,
E144_4_86,,4.86
E83_1_804,1.804,
E134_3_657,,3.657
E81_0_1,0.1,
E27_2_455,2.455,
E31_3_307,,3.307
E38_3_808,3.808,
E33_0_501,0.501,
E36_4_559,4.559,
E65_3_407,,3.407
E74_3_657,,3.657
E14_3_006,,3.006
E119_2_104,2.104,
E9_2_405,,2.405
E122_4_309,4.309,
E100_2_104,2.104,
E140_4_76,,4.76
E51_2_555,2.555,
E73_0_601,,0.601
E69_1_002,1.002,
E20_0_05,0.05,
E109_2_204,,2.204
E117_2_906,2.906,
E45_4_008,4.008,
E74_4_96,,4.96
E105_2_856,,2.856
E142_3_307,,3.307
E111_1_253,1.253,
E18_2_605,2.605,
E133_2_605,2.605,
E47_2_405,,2.405
E142_4_91,,4.91
E24_1_503,1.503,
E24_0_451,0.451,
E69_3_657,3.657,
E83_1_253,1.253,
E53_0_701,,0.701
E141_4_208,4.208,
E71_3_457,,3.457
E54_2_705,,2.705
E100_3_006,3.006,
E136_0_351,,0.351
E3_1_453,1.453,
E83_0_451,0.451,
E61_1_102,1.102,
E92_2_104,2.104,
E48_0_301,0.301,
E77_1_954,,1.954
E97_3_206,,3.206
E109_0_251,,0.251
E11_2_204,2.204,
E129_0_651,,0.651
E49_0_0,,0.0
E4_3_707,3.707,
E35_3_407,3.407,
E127_1_453,1.453,
E41_1_553,,1.553
E99_3_407,,3.407
E44_0_802,0.802,
E121_3_457,3.457,
E131_0_301,0.301,
E25_0_501,,0.501
E144_1_002,,1.002
E65_4_309,,4.309
E0_0_651,,0.651
E108_3_858,3.858,
E55_4_008,4.008,
E56_1_653,,1.653
E119_1_102,1.102,
E132_3_707,,3.707
E69_2_255,2.255,
E88_2_104,,2.104
E122_2_154,2.154,
E35_1_553,1.553,
E124_3_858,3.858,
E66_0_15,,0.15
E100_2_054,2.054,
E57_0_351,,0.351
E89_1_303,,1.303
E92_2_655,2.655,
E144_3_357,,3.357
E18_3_357,3.357,
E131_4_96,4.96,
E140_2_705,,2.705
E122_2_906,2.906,
E82_0_0,,0.0
E70_1_804,,1.804
E71_1_603,,1.603
E110_2_655,,2.655
E113_0_1,,0.1
E140_2_455,,2.455
E86_1_202,,1.202
E90_2_856,,2.856
E130_4_208,4.208,
E45_1_253,1.253,
E124_4_81,4.81,
E20_4_509,4.509,
E11_2_605,2.605,
E54_1_553,,1.553
E129_1_703,,1.703
E1_1_052,,1.052
E120_4_86,,4.86
E144_4_158,,4.158
E82_4_709,,4.709
E52_3_307,,3.307
E103_2_555,2.555,
E35_1_703,1.703,
E77_1_202,,1.202
E124_4_709,4.709,
E20_1_904,1.904,
E91_2_054,2.054,
E80_2_856,,2.856
E80_4_709,,4.709
E50_1_202,1.202,
E74_3_707,,3.707
E122_4_359,4.359,
E7_0_351,,0.351
E80_2_054,,2.054
E141_3_457,3.457,
E20_2_255,2.255,
E32_0_802,0.802,
E131_1_703,1.703,
E87_1_553,,1.553
E62_1_253,,1.253
E33_4_76,4.76,
E109_1_052,,1.052
E120_1_804,,1.804
E65_1_553,,1.553
E101_1_954,,1.954
E75_0_351,0.351,
E143_0_701,0.701,
E90_1_453,,1.453
E120_0_501,,0.501
E51_1_854,1.854,
E19_3_307,3.307,
E90_4_108,,4.108
E116_3_657,,3.657
E69_2_806,2.806,
E98_0_952,,0.952
E127_4_609,4.609,
E11_1_804,1.804,
E126_2_605,2.605,
E10_0_501,0.501,
E33_4_108,4.108,
E23_1_754,1.754,
E87_0_2,,0.2
E36_0_05,0.05,
E80_1_353,,1.353
E143_1_002,1.002,
E51_1_804,1.804,
E14_4_509,,4.509
E83_3_056,3.056,
E109_3_858,,3.858
E48_1_553,1.553,
E34_2_705,,2.705
E117_0_601,0.601,
E17_1_904,1.904,
E110_4_058,,4.058
E84_2_255,,2.255
E109_0_802,,0.802
E140_2_104,,2.104
E65_3_958,,3.958
E39_2_555,2.555,
E71_1_353,,1.353
E34_2_555,,2.555
E110_2_505,,2.505
E114_3_908,,3.908
E39_3_357,3.357,
E37_3_858,3.858,
E54_3_206,,3.206
E77_1_904,,1.904
E108_4_81,4.81,
E98_1_854,,1.854
E101_4_309,,4.309
E31_2_505,,2.505
E101_0_2,,0.2
E123_4_108,4.108,
E135_3_257,,3.257
E83_1_353,1.353,
E103_2_655,2.655,
E82_2_705,,2.705
E111_2_705,2.705,
E61_4_76,4.76,
E55_0_351,0.351,
E117_2_705,2.705,
E139_3_457,3.457,
E57_3_156,,3.156
E37_2_906,2.906,
E90_3_457,,3.457
E143_4_96,4.96,
E99_4_659,,4.659
E8_4_659,4.659,
E25_0_852,,0.852
E39_0_2,0.2,
E138_3_156,3.156,
E28_2_405,2.405,
E100_0_2,0.2,
E97_3_006,,3.006
E8_2_104,2.104,
E147_1_002,,1.002
E116_0_802,,0.802
E38_0_351,0.351,
E142_4_81,,4.81
E141_3_507,3.507,
E82_4_259,,4.259
E120_2_756,,2.756
E113_2_505,,2.505
E10_0_0,0.0,
E23_3_006,3.006,
E27_1_603,1.603,
E75_1_804,1.804,
E1_4_058,,4.058
E62_0_952,,0.952
E133_0_2,0.2,
E57_0_301,,0.301
E87_4_509,,4.509
E91_3_507,3.507,
E127_0_351,0.351,
E19_1_553,1.553,
E119_4_659,4.659,
E138_1_353,1.353,
E50_2_004,2.004,
E92_4_86,4.86,
E84_0_902,,0.902
E57_3_657,,3.657
E135_3_156,,3.156
E104_4_81,,4.81
E121_2_255,2.255,
E142_0_301,,0.301
E101_4_609,,4.609
E133_1_553,1.553,
E110_0_501,,0.501
E54_0_551,,0.551
E34_1_002,,1.002
E80_1_904,,1.904
E50_0_2,0.2,
E4_4_309,4.309,
E112_0_551,,0.551
E101_0_451,,0.451
E124_3_958,3.958,
E143_1_202,1.202,
E32_0_501,0.501,
E0_4_609,,4.609
E127_3_407,3.407,
E24_2_705,2.705,
E19_2_856,2.856,
E20_1_503,1.503,
E15_3_206,,3.206
E53_1_052,,1.052
E14_1_102,,1.102
E147_3_106,,3.106
E49_1_253,,1.253
E21_3_307,,3.307
E33_4_709,4.709,
E28_1_303,1.303,
E106_4_559,4.559,
E62_2_605,,2.605
E139_0_701,0.701,
E43_2_856,2.856,
E140_0_802,,0.802
E108_1_052,1.052,
E91_3_307,3.307,
E72_1_553,1.553,
E26_4_609,,4.609
E3_4_559,4.559,
E14_1_353,,1.353
E18_3_657,3.657,
E72_2_104,2.104,
E113_0_752,,0.752
E143_1_703,1.703,
E136_2_355,,2.355
E10_3_457,3.457,
E34_4_108,,4.108
E41_1_653,,1.653
E71_1_102,,1.102
E99_2_655,,2.655
E73_1_052,,1.052
E85_0_251,,0.251
E106_3_858,3.858,
E53_0_2,,0.2
E90_3_908,,3.908
E75_4_208,4.208,
E88_1_002,,1.002
E88_2_355,,2.355
E101_0_251,,0.251
E44_3_507,3.507,
E135_4_108,,4.108
E91_0_15,0.15,
E33_4_609,4.609,
E140_2_655,,2.655
E110_4_359,,4.359
E1_3_908,,3.908
E65_1_152,,1.152
E99_3_707,,3.707
E59_4_309,4.309,
E116_2_605,,2.605
E99_3_106,,3.106
E56_0_251,,0.251
E112_1_152,,1.152
E39_0_451,0.451,
E98_3_908,,3.908
E45_1_202,1.202,
E36_4_459,4.459,
E49_1_353,,1.353
E108_1_453,1.453,
E24_2_505,2.505,
E26_3_106,,3.106
E31_4_81,,4.81
E11_2_756,2.756,
E4_4_709,4.709,
E109_2_605,,2.605
E110_1_052,,1.052
E120_0_0,,0.0
E45_2_104,2.104,
E71_3_307,,3.307
E65_0_301,,0.301
E37_1_804,1.804,
E130_3_357,3.357,
E103_1_152,1.152,
E32_4_96,4.96,
E54_2_355,,2.355
E34_0_1,,0.1
E123_1_152,1.152,
E43_4_609,4.609,
E66_2_054,,2.054
E7_0_401,,0.401
E97_3_707,,3.707
E104_1_152,,1.152
E58_1_553,,1.553
E131_4_509,4.509,
E27_0_952,0.952,
E60_0_601,,0.601
E4_1_353,1.353,
E20_3_707,3.707,
E110_4_409,,4.409
E123_4_058,4.058,
E145_0_301,0.301,
E32_1_854,1.854,
E18_0_501,0.501,
E106_1_503,1.503,
E59_4_91,4.91,
E69_3_507,3.507,
E49_0_2,,0.2
E108_4_76,4.76,
E47_1_754,,1.754
E50_4_659,4.659,
E28_1_553,1.553,
E75_4_709,4.709,
E66_3_707,,3.707
E4_3_206,3.206,
E134_4_659,,4.659
E55_4_76,4.76,
E48_2_505,2.505,
E82_3_557,,3.557
E141_2_655,2.655,
E58_2_455,,2.455
E38_4_86,4.86,
E78_4_058,4.058,
E1_0_852,,0.852
E51_2_305,2.305,
E34_2_856,,2.856
E81_2_655,2.655,
E78_2_255,2.255,
E113_3_257,,3.257
E147_2_856,,2.856
E51_3_657,3.657,
E105_2_355,,2.355
E23_4_709,4.709,
E113_3_056,,3.056
E131_1_052,1.052,
E130_1_403,1.403,
E64_0_501,,0.501
E142_0_1,,0.1
E5_1_904,1.904,
E127_3_808,3.808,
E83_3_958,3.958,
E54_4_459,,4.459
E12_2_906,2.906,
E26_3_908,,3.908
