,PseudoTime0,PseudoTime1,PseudoTime2
E7_6_008,,,6.008
E125_6_568,,,6.568
E6_4_726,4.726,,
E121_3_284,3.284,,
E25_6_889,,,6.889
E68_3_605,3.605,,
E70_5_687,,,5.687
E109_4_165,,4.165,
E1_0_08,0.08,,
E15_4_245,,4.245,
E77_2_403,,,2.403
E44_4_966,,,4.966
E145_3_364,3.364,,
E90_5_287,,,5.287
E14_5_767,5.767,,
E144_3_444,,,3.444
E129_5_126,5.126,,
E32_7_69,,7.69,
E139_2_723,2.723,,
E56_4_085,4.085,,
E102_2_884,2.884,,
E87_4_646,,,4.646
E100_6_008,,6.008,
E91_0_16,,0.16,
E33_7_85,,7.85,
E27_0_481,,0.481,
E112_6_248,,6.248,
E6_0_24,0.24,,
E6_6_969,6.969,,
E80_5_447,,5.447,
E63_7_209,7.209,,
E112_7_85,,7.85,
E109_5_767,,5.767,
E4_7_449,7.449,,
E80_0_32,,0.32,
E115_4_646,,4.646,
E12_6_648,,,6.648
E29_2_964,2.964,,
E68_4_566,4.566,,
E1_2_403,2.403,,
E147_1_522,1.522,,
E125_1_041,,,1.041
E9_1_041,,1.041,
E121_5_207,5.207,,
E54_4_486,,,4.486
E80_3_044,,3.044,
E52_2_323,2.323,,
E115_4_726,,4.726,
E72_1_041,,,1.041
E60_5_527,,5.527,
E20_0_881,0.881,,
E7_2_243,,,2.243
E34_2_964,,,2.964
E140_4_566,4.566,,
E146_2_723,,2.723,
E129_6_488,6.488,,
E27_3_204,,3.204,
E5_3_605,,,3.605
E112_3_204,,3.204,
E22_3_204,3.204,,
E90_5_927,,,5.927
E70_0_481,,,0.481
E108_4_085,,4.085,
E78_1_442,1.442,,
E54_3_204,,,3.204
E37_5_687,,,5.687
E139_2_083,2.083,,
E74_2_643,,2.643,
E144_2_323,,,2.323
E102_1_842,1.842,,
E92_6_728,6.728,,
E99_1_762,1.762,,
E100_4_566,,4.566,
E74_6_889,,6.889,
E80_3_845,,3.845,
E37_6_408,,,6.408
E15_2_003,,2.003,
E146_5_287,,5.287,
E27_0_16,,0.16,
E61_6_488,,6.488,
E15_6_328,,6.328,
E87_3_204,,,3.204
E82_2_323,,,2.323
E129_7_85,7.85,,
E28_7_289,,7.289,
E108_1_121,,1.121,
E125_5_046,,,5.046
E60_3_204,,3.204,
E128_2_003,,2.003,
E2_4_806,,,4.806
E9_0_721,,0.721,
E142_7_69,7.69,,
E147_3_284,3.284,,
E72_1_121,,,1.121
E58_1_442,1.442,,
E34_5_287,,,5.287
E142_7_449,7.449,,
E37_2_163,,,2.163
E114_2_884,,,2.884
E83_7_289,7.289,,
E92_5_207,5.207,,
E79_2_163,,,2.163
E108_2_243,,2.243,
E121_6_008,6.008,,
E30_6_648,,6.648,
E95_2_323,2.323,,
E103_5_687,,5.687,
E28_1_202,,1.202,
E31_2_483,,2.483,
E61_5_046,,5.046,
E113_4_406,4.406,,
E115_4_566,,4.566,
E42_0_881,0.881,,
E12_2_563,,,2.563
E49_7_529,,,7.529
E102_2_483,2.483,,
E146_7_449,,7.449,
E89_7_529,,,7.529
E134_0_08,,,0.08
E20_2_083,2.083,,
E19_5_927,,5.927,
E149_7_369,,,7.369
E129_4_406,4.406,,
E108_4_486,,4.486,
E73_2_483,,2.483,
E136_6_728,6.728,,
E34_6_488,,,6.488
E80_1_202,,1.202,
E42_2_964,2.964,,
E72_0_32,,,0.32
E109_0_801,,0.801,
E139_3_284,3.284,,
E86_3_685,,,3.685
E146_4_406,,4.406,
E145_0_0,0.0,,
E135_6_248,,,6.248
E73_4_966,,4.966,
E121_3_444,3.444,,
E78_6_728,6.728,,
E28_1_442,,1.442,
E106_3_925,,,3.925
E20_7_93,7.93,,
E146_7_369,,7.369,
E37_5_607,,,5.607
E58_0_721,0.721,,
E108_6_809,,6.809,
E139_0_801,0.801,,
E100_6_168,,6.168,
E118_6_488,,,6.488
E21_2_403,,,2.403
E63_0_801,0.801,,
E118_2_804,,,2.804
E13_3_765,3.765,,
E114_2_323,,,2.323
E16_3_765,,,3.765
E96_0_881,,,0.881
E134_0_641,,,0.641
E146_1_682,,1.682,
E96_6_568,,,6.568
E139_7_69,7.69,,
E33_2_323,,2.323,
E68_6_568,6.568,,
E142_1_602,1.602,,
E139_0_0,0.0,,
E39_1_362,,1.362,
E80_3_204,,3.204,
E129_5_687,5.687,,
E44_1_922,,,1.922
E43_0_16,,0.16,
E54_4_566,,,4.566
E33_4_165,,4.165,
E9_4_726,,4.726,
E139_4_806,4.806,,
E92_7_61,7.61,,
E62_5_287,,5.287,
E9_4_566,,4.566,
E45_6_568,,6.568,
E100_1_682,,1.682,
E44_1_442,,,1.442
E145_3_044,3.044,,
E7_2_804,,,2.804
E31_6_488,,6.488,
E117_5_287,,5.287,
E2_5_126,,,5.126
E125_0_801,,,0.801
E27_7_369,,7.369,
E68_3_284,3.284,,
E14_6_648,6.648,,
E111_0_32,,,0.32
E109_6_969,,6.969,
E32_5_207,,5.207,
E49_2_323,,,2.323
E99_0_24,0.24,,
E83_0_401,0.401,,
E121_2_723,2.723,,
E3_1_842,,1.842,
E100_1_041,,1.041,
E62_3_925,,3.925,
E27_5_447,,5.447,
E43_6_889,,6.889,
E25_4_886,,,4.886
E93_4_325,,,4.325
E91_5_447,,5.447,
E111_3_605,,,3.605
E33_2_243,,2.243,
E109_4_646,,4.646,
E122_7_289,7.289,,
E21_7_289,,,7.289
E113_1_442,1.442,,
E98_4_806,4.806,,
E129_5_527,5.527,,
E136_2_323,2.323,,
E75_0_32,,,0.32
E14_3_124,3.124,,
E36_3_044,,3.044,
E83_5_046,5.046,,
E77_1_121,,,1.121
E39_1_602,,1.602,
E22_4_966,4.966,,
E107_0_24,,0.24,
E89_3_364,,,3.364
E90_0_24,,,0.24
E52_3_925,3.925,,
E142_0_08,0.08,,
E136_4_165,4.165,,
E97_6_648,,6.648,
E34_3_364,,,3.364
E145_5_126,5.126,,
E20_4_726,4.726,,
E63_0_881,0.881,,
E14_4_165,4.165,,
E136_6_328,6.328,,
E140_6_648,6.648,,
E29_5_687,5.687,,
E36_3_925,,3.925,
E25_4_726,,,4.726
E125_4_245,,,4.245
E90_1_602,,,1.602
E5_3_284,,,3.284
E79_4_085,,,4.085
E73_7_69,,7.69,
E84_1_362,1.362,,
E19_0_481,,0.481,
E102_4_806,4.806,,
E96_7_129,,,7.129
E83_1_041,1.041,,
E37_6_488,,,6.488
E139_5_767,5.767,,
E10_7_69,7.69,,
E135_6_969,,,6.969
E146_0_481,,0.481,
E74_4_325,,4.325,
E5_5_607,,,5.607
E40_4_886,,,4.886
E14_5_126,5.126,,
E146_2_964,,2.964,
E91_0_08,,0.08,
E140_0_481,0.481,,
E37_5_447,,,5.447
E15_0_561,,0.561,
E115_0_0,,0.0,
E16_3_845,,,3.845
E13_4_406,4.406,,
E13_3_605,3.605,,
E113_4_245,4.245,,
E98_1_522,1.522,,
E54_2_403,,,2.403
E70_2_083,,,2.083
E1_0_24,0.24,,
E61_4_966,,4.966,
E78_6_168,6.168,,
E128_3_044,,3.044,
E43_3_524,,3.524,
E98_0_08,0.08,,
E121_1_762,1.762,,
E27_2_804,,2.804,
E25_7_69,,,7.69
E91_5_767,,5.767,
E73_3_845,,3.845,
E53_6_008,,6.008,
E122_5_767,5.767,,
E87_0_08,,,0.08
E2_6_728,,,6.728
E106_2_243,,,2.243
E149_4_566,,,4.566
E86_0_961,,,0.961
E4_6_408,6.408,,
E99_2_964,2.964,,
E97_5_046,,5.046,
E102_2_163,2.163,,
E70_0_0,,,0.0
E135_6_408,,,6.408
E25_0_801,,,0.801
E103_5_447,,5.447,
E81_2_003,,,2.003
E20_1_121,1.121,,
E136_4_806,4.806,,
E61_2_403,,2.403,
E134_5_607,,,5.607
E2_7_209,,,7.209
E28_2_323,,2.323,
E99_7_129,7.129,,
E136_7_449,7.449,,
