,PseudoTime0,PseudoTime1,PseudoTime2
E122_3_685,3.685,,
E9_7_129,,7.129,
E121_4_245,4.245,,
E130_2_884,,2.884,
E13_1_202,1.202,,
E9_6_408,,6.408,
E100_0_32,,0.32,
E10_2_163,2.163,,
E118_4_245,,,4.245
E140_1_842,1.842,,
E136_1_842,1.842,,
E96_2_003,,,2.003
E20_4_325,4.325,,
E107_7_69,,7.69,
E90_4_085,,,4.085
E132_2_323,,,2.323
E74_0_0,,0.0,
E142_2_563,2.563,,
E4_3_605,3.605,,
E4_3_044,3.044,,
E42_1_121,1.121,,
E6_3_444,3.444,,
E45_4_085,,4.085,
E106_6_568,,,6.568
E146_5_287,,5.287,
E34_3_925,,,3.925
E29_4_325,4.325,,
E87_6_969,,,6.969
E45_6_168,,6.168,
E97_2_243,,2.243,
E81_4_005,,,4.005
E22_6_328,6.328,,
E122_2_323,2.323,,
E110_0_561,,0.561,
E118_0_961,,,0.961
E45_6_809,,6.809,
E62_4_806,,4.806,
E114_6_328,,,6.328
E49_4_646,,,4.646
E16_1_202,,,1.202
E73_5_126,,5.126,
E1_6_889,6.889,,
E112_4_806,,4.806,
E63_6_008,6.008,,
E40_5_927,,,5.927
E92_6_408,6.408,,
E1_1_442,1.442,,
E109_1_762,,1.762,
E19_3_605,,3.605,
E2_4_085,,,4.085
E22_3_124,3.124,,
E33_2_563,,2.563,
E63_5_447,5.447,,
E72_4_486,,,4.486
E90_7_61,,,7.61
E93_3_685,,,3.685
E70_6_328,,,6.328
E134_7_77,,,7.77
E75_5_367,,,5.367
E61_4_486,,4.486,
E108_5_046,,5.046,
E111_5_367,,,5.367
E130_1_282,,1.282,
E31_0_08,,0.08,
E66_4_245,4.245,,
E25_2_884,,,2.884
E47_5_126,5.126,,
E129_4_726,4.726,,
E110_0_801,,0.801,
E4_1_121,1.121,,
E143_1_041,1.041,,
E1_1_121,1.121,,
E134_4_886,,,4.886
E20_6_408,6.408,,
E5_1_282,,,1.282
E91_6_648,,6.648,
E7_5_367,,,5.367
E54_3_685,,,3.685
E72_4_806,,,4.806
E10_2_643,2.643,,
E3_5_527,,5.527,
E5_3_605,,,3.605
E60_0_641,,0.641,
E132_7_93,,,7.93
E7_5_287,,,5.287
E63_3_765,3.765,,
E47_6_969,6.969,,
E117_6_488,,6.488,
E34_4_245,,,4.245
E130_2_243,,2.243,
E100_4_806,,4.806,
E36_2_243,,2.243,
E70_5_367,,,5.367
E58_2_964,2.964,,
E58_5_847,5.847,,
E56_7_209,7.209,,
E103_1_442,,1.442,
E53_1_522,,1.522,
E125_3_524,,,3.524
E118_7_049,,,7.049
E143_3_444,3.444,,
E92_5_687,5.687,,
E7_0_481,,,0.481
E14_6_248,6.248,,
E47_5_287,5.287,,
E62_2_163,,2.163,
E47_4_566,4.566,,
E145_7_129,7.129,,
E106_5_527,,,5.527
E6_6_488,6.488,,
E132_1_602,,,1.602
E147_0_481,0.481,,
E42_1_442,1.442,,
E5_6_088,,,6.088
E134_0_481,,,0.481
E138_3_124,,3.124,
E142_2_804,2.804,,
E114_4_726,,,4.726
E98_1_041,1.041,,
E53_6_088,,6.088,
E108_2_884,,2.884,
E46_7_529,7.529,,
E7_3_124,,,3.124
E3_6_088,,6.088,
E4_1_682,1.682,,
E2_6_728,,,6.728
E96_2_723,,,2.723
E115_4_165,,4.165,
E1_1_602,1.602,,
E77_2_723,,,2.723
E132_1_682,,,1.682
E52_5_607,5.607,,
E125_2_403,,,2.403
E107_6_248,,6.248,
E56_0_32,0.32,,
E93_5_607,,,5.607
E142_4_726,4.726,,
E33_7_61,,7.61,
E147_3_044,3.044,,
E36_0_24,,0.24,
E110_5_046,,5.046,
E145_1_121,1.121,,
E22_0_32,0.32,,
E98_3_364,3.364,,
E60_2_243,,2.243,
E14_5_207,5.207,,
E82_2_483,,,2.483
E66_2_964,2.964,,
E14_7_93,7.93,,
E118_4_646,,,4.646
E90_0_08,,,0.08
E134_6_488,,,6.488
E92_2_163,2.163,,
E60_6_328,,6.328,
E54_1_282,,,1.282
E110_4_726,,4.726,
E42_5_767,5.767,,
E40_2_323,,,2.323
E12_5_287,,,5.287
E37_2_964,,,2.964
E22_7_369,7.369,,
E90_2_403,,,2.403
E44_2_243,,,2.243
E12_3_685,,,3.685
E21_6_248,,,6.248
E3_6_248,,6.248,
E4_1_041,1.041,,
E83_1_522,1.522,,
E82_6_809,,,6.809
E37_5_126,,,5.126
E121_6_408,6.408,,
E144_2_964,,,2.964
E79_6_969,,,6.969
E135_2_643,,,2.643
E37_3_364,,,3.364
E146_6_168,,6.168,
E4_6_728,6.728,,
E73_6_809,,6.809,
E6_3_925,3.925,,
E27_6_008,,6.008,
E44_0_721,,,0.721
E49_0_24,,,0.24
E122_0_08,0.08,,
E87_2_003,,,2.003
E53_2_483,,2.483,
E139_1_202,1.202,,
E44_4_406,,,4.406
E112_7_049,,7.049,
E7_0_881,,,0.881
E75_4_085,,,4.085
E44_0_561,,,0.561
E33_7_85,,7.85,
E117_7_85,,7.85,
E39_0_32,,0.32,
E79_2_483,,,2.483
E98_4_486,4.486,,
E70_5_207,,,5.207
E86_2_403,,,2.403
E49_6_889,,,6.889
