,Spearman Median,Spearman MAD
GENIE3,0.9774622381363954,0.01034560279504105
GRISLI,0.7442480827005375,0.10757782328314422
GRNBOOST2,0.9491789109766637,0.018623243618206792
GRNVBEM,0.7689823645240926,0.08531976339819065
LEAP,0.8905736170007973,0.1930287913417376
PIDC,0.9039525691699605,0.0690773972122264
PPCOR,0.8628788951845868,0.05611408256681943
SCINGE,0.46503989613363284,0.1140937341576511
SCNS,0.700827882032328,0.16347463340871796
SCODE,0.7394246203234968,0.06318416457656795
SCRIBE,0.4112853438696135,0.10847455937511914
SINCERITIES,0.7001382957591936,0.15146478205418515
