,Jaccard Median,Jaccard MAD
GENIE3,0.875,0.07161370295244555
GRISLI,0.45454545454545453,0.12831830602386668
GRNBOOST2,0.7647058823529411,0.09948835916701751
GRNVBEM,0.5384615384615384,0.13684675201414553
LEAP,0.6666666666666666,0.2198024557466825
PIDC,0.7777777777777778,0.11765887171356813
PPCOR,1.0,0.12619051393843292
SCINGE,0.36363636363636365,0.14396890966692177
SCNS,0.4,0.22948434984683275
SCODE,0.5,0.12295559386371813
SCRIBE,0.30434782608695654,0.11910643697885162
SINCERITIES,0.7647058823529411,0.17596875726964278
