	Fli1	Eklf	Scl	Pu1	Gfi1	EgrNab	cJun	Gata1	Cebpa	Fog1	Gata2
E0_3	0.8995970097770138	0.8932475291058076	0.6680599528334403	0.0976325327868028	0.39276898774328106	0.7382374092947092	0.3145484437191092	0.8528715713317189	0.07632764386105945	0.9079362058067212	0.4628708541973452
E0_6	0.7720970246015861	0.8273073235811353	0.5348668274454899	0.01293934471669532	0.042777170903892686	0.5420455254683288	0.14244712195799106	0.6868643234184858	0.14130065430634434	0.8689360409662824	0.10887856085030677
E0_9	0.7437575428599476	0.7311843407890218	0.4535413651278479	0.191090036854056	0.2669486863370101	0.4082595860981944	0.17020242147123135	0.5898784123830125	0.21364777724696854	0.7805735829817819	0.05666682120665297
E0_12	0.5998735375356024	0.6311511359020179	0.3325489974099456	0.3951848450815329	0.2512087627279783	0.3087712995496372	0.1884921299571371	0.5107480028571995	0.2880199952116139	0.6633357588408868	0.18919489446836504
E0_15	0.5723622735941879	0.5450059001879517	0.2690460093606597	0.5201495549977722	0.07507128762318664	0.2221568018260033	0.12939000830166866	0.37180464652505263	0.35607056583831914	0.5650370587297724	0.6157223010141191
E0_18	0.5740213358249864	0.4588422860330421	0.19505203138402694	0.6364822227161943	0.1302554072876579	0.15971297003783144	0.1115287177155776	0.24048128073161004	0.4239110026605589	0.4679269946919039	0.08549766204635148
E0_21	0.5597132178806858	0.3723820416591841	0.041263880200603	0.7648413300369976	0.7130029640267317	0.1214781445859892	0.18020819081651546	0.1943596639602733	0.4938963242448702	0.37085052233347865	0.1531565185531472
E0_24	0.5362205483445859	0.31036301927000354	0.04648850645740947	0.7881754472573452	0.4346554413714352	0.09475142461527683	0.11131108643948924	0.2460124129238016	0.5534188276124077	0.30197186943219506	0.19209427157038986
E0_27	0.5456912643455691	0.25215546703381514	0.004374233739306207	0.8408142609857887	0.5243306449590708	0.07021586118537265	0.18582609887217325	0.17091467460203838	0.6084759688181051	0.2425400754822669	0.12154485125082973
E0_30	0.4362004479993839	0.20378616127945687	0.005458764096200518	0.8791947536296079	0.508217407806841	0.055923450459204924	0.18916292719390387	0.13752017380990675	0.6606920332032797	0.19318490326906326	0.035282727700025836
E0_33	0.25208653353788546	0.17245759973598127	0.0004583250242798041	0.8606226211904718	0.2327984640583869	0.046369056499803614	0.1657282209759655	0.15001607016786242	0.7083625865618046	0.16327351558408645	0.03153036435587611
E0_36	0.12952173066556508	0.15199002114556032	0.0002271230157965664	0.8314187903360998	0.7040253745188039	0.033334570773047696	0.12067249714239753	0.09211579527849567	0.7491437976837734	0.14811841998508055	0.0002058734958567505
E0_39	0.14370589813482182	0.1320870284838443	0.00016269910075707793	0.8309135814120826	0.4299563610104261	0.029281892392410563	0.12181698099002387	0.04192226105695567	0.7853801609539607	0.1347241102269222	0.046921625311797804
E0_42	0.2350486953853013	0.10846061007175506	0.0019465150542185212	0.8704669335218091	0.7352022803871584	0.02928599414447705	0.07808441495570326	0.03963206222991631	0.8232701471958722	0.11141682590188648	0.03968888058531152
E0_45	0.25945969492348675	0.08530670315062992	0.0035669189750191788	0.8871735808729504	0.8494506779194254	0.0198329124669383	0.06832957839030193	0.10440174048355566	0.8569223508373011	0.09046898596193736	0.08130312023584499
E0_48	0.08578773346647206	0.06266101002583087	0.010739235573173227	0.9318805480901429	0.7325867303370547	0.011790320694777432	0.136155843938733	0.09352143919388596	0.8853101807193845	0.06597729879394706	0.041064945386094905
E0_51	0.02274788228028037	0.04426906705225045	0.020523151176295752	0.940420660481802	0.4504777372069477	0.006394320136342037	0.16197821296684922	0.0	0.9160174455452508	0.046057381057855784	0.00542866191338389
E0_54	0.03608630366314411	0.028723673362358662	0.02976407361602433	0.9689862038777868	0.3045014474839267	0.004343571654902616	0.2067817828418566	0.0767425021908892	0.945095669208342	0.029240708938218632	0.01119202904234344
E0_57	0.07521001108633603	0.012540528750997024	0.0010414470401803448	0.994558852301216	0.3310486258071605	0.0016843059006089775	0.13416709186983775	0.06412898755168209	0.9780980735873224	0.010989026155111138	0.0032109457658444558
